Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Postcode area,Count of payments,,,,Postcode area,Value of payments,,
,2023,External flooding,Internal flooding,Grand Total,,2023,External flooding,Internal flooding,Grand Total
,CB1,,1,1,,CB1,,387.01,387.01
,CB10,,1,1,,CB10,,250,250
,CB11,,3,3,,CB11,,826.6099999999999,826.6099999999999
,CB2,,1,1,,CB2,,1000,1000
,CB21,1,,1,,CB21,133.26,,133.26
,CB23,2,,2,,CB23,191.57,,191.57
,CB25,,2,2,,CB25,,483.52,483.52
,CB4,,1,1,,CB4,,204.76,204.76
,CB6,10,3,13,,CB6,1510.17,838.87,2349.04
,CB7,6,,6,,CB7,848.5400000000001,,848.5400000000001
,CB8,4,2,6,,CB8,551.76,484.5,1036.26
,CB9,2,2,4,,CB9,237.99,396.23,634.22
,CM1,2,2,4,,CM1,446.08000000000004,633.54,1079.62
,CM11,3,1,4,,CM11,698.88,237.05,935.9300000000001
,CM12,,1,1,,CM12,,167,167
,CM13,3,3,6,,CM13,368.25,969.0500000000001,1337.3000000000002
,CM15,,1,1,,CM15,,168.92,168.92
,CM2,1,,1,,CM2,177.64,,177.64
,CM3,8,4,12,,CM3,1390.29,1149.1299999999999,2539.42
,CM7,1,1,2,,CM7,290.09,255.3,545.39
,CM77,,1,1,,CM77,,150.19,150.19
,CM8,6,,6,,CM8,1038.37,,1038.37
,CM9,3,5,8,,CM9,555.26,1235.98,1791.24
,CO1,,8,8,,CO1,,2123.53,2123.53
,CO10,26,2,28,,CO10,4530.820000000001,496.51,5027.330000000001
,CO11,3,2,5,,CO11,426.17999999999995,322.07000000000005,748.25
,CO15,1,2,3,,CO15,75,644.96,719.96
,CO16,4,3,7,,CO16,408.85,401.15999999999997,810.01
,CO2,6,2,8,,CO2,1013.2,338.13,1351.33
,CO3,1,3,4,,CO3,182.43,871.66,1054.09
,CO4,3,4,7,,CO4,695.11,885.3,1580.4099999999999
,CO5,1,3,4,,CO5,117,723.23,840.23
,CO6,5,7,12,,CO6,824.8699999999999,2126.49,2951.3599999999997
,CO7,,1,1,,CO7,,379.89,379.89
,CO9,5,2,7,,CO9,661.7099999999999,687,1348.71
,DN15,2,,2,,DN15,271.63,,271.63
,DN19,1,,1,,DN19,101.69,,101.69
,DN20,2,3,5,,DN20,229.57,501.74,731.31
,DN21,4,1,5,,DN21,623.73,321.96,945.69
,DN34,1,2,3,,DN34,138.54,364.86,503.4
,DN35,1,,1,,DN35,77.14,,77.14
,DN36,9,,9,,DN36,1117,,1117
,DN37,4,2,6,,DN37,515.01,469.67,984.6800000000001
,DN40,3,1,4,,DN40,506.96999999999997,287.52,794.49
,DN41,,1,1,,DN41,,196.98,196.98
,E10,1,,1,,E10,210.01,,210.01
,IP1,20,9,29,,IP1,3127.7200000000003,2149.98,5277.700000000001
,IP10,1,1,2,,IP10,75,278.97,353.97
,IP11,1,4,5,,IP11,208.54,1077.38,1285.92
,IP12,11,5,16,,IP12,2309.1700000000005,1351.6200000000001,3660.790000000001
,IP13,20,,20,,IP13,2816.2399999999993,,2816.2399999999993
,IP14,6,4,10,,IP14,965.6099999999999,1294.21,2259.8199999999997
,IP15,3,,3,,IP15,329,,329
,IP16,2,1,3,,IP16,384.7,136.86,521.56
,IP17,3,,3,,IP17,380.94,,380.94
,IP18,6,2,8,,IP18,565.38,575.27,1140.65
,IP19,12,2,14,,IP19,1895.44,247.93,2143.37
,IP2,1,,1,,IP2,108.2,,108.2
,IP21,4,1,5,,IP21,840.86,387.9,1228.76
,IP22,3,1,4,,IP22,536.49,184.8,721.29
,IP23,,1,1,,IP23,,192.49,192.49
,IP24,3,1,4,,IP24,558.35,181.6,739.95
,IP25,8,1,9,,IP25,981.18,235.28,1216.46
,IP26,1,1,2,,IP26,111.36,368.74,480.1
,IP27,4,4,8,,IP27,721.41,990.47,1711.88
,IP28,1,3,4,,IP28,98.66,918.7,1017.36
,IP3,1,1,2,,IP3,193,230.9,423.9
,IP30,2,4,6,,IP30,264.6,1262.75,1527.35
,IP31,5,3,8,,IP31,857.19,967.8100000000001,1825
,IP32,,1,1,,IP32,,396.3,396.3
,IP33,1,3,4,,IP33,242.69,761.88,1004.5699999999999
,IP5,1,,1,,IP5,101,,101
,IP6,14,3,17,,IP6,2900.7999999999997,606.47,3507.2699999999995
,IP7,6,,6,,IP7,798.82,,798.82
,IP8,1,1,2,,IP8,112.67,92.72,205.39
,IP9,2,1,3,,IP9,365.57,215.47,581.04
,LE15,2,2,4,,LE15,563.69,775.27,1338.96
,LE16,3,5,8,,LE16,711.5,1200.74,1912.24
,LE8,,1,1,,LE8,,378.82,378.82
,LN1,5,,5,,LN1,455.95,,455.95
,LN10,1,1,2,,LN10,101.38,221.98,323.36
,LN11,7,3,10,,LN11,1059.32,565.19,1624.51
,LN12,,1,1,,LN12,,607,607
,LN13,6,1,7,,LN13,1398.28,211.12,1609.4
,LN2,29,1,30,,LN2,4178.799999999999,181.6,4360.4
,LN3,5,2,7,,LN3,935.95,762.48,1698.43
,LN4,36,3,39,,LN4,5219.73,443.48,5663.209999999999
,LN5,3,1,4,,LN5,405.14,330.08,735.22
,LN6,4,,4,,LN6,451,,451
,LN7,1,1,2,,LN7,132.46,291.55,424.01
,LN8,11,,11,,LN8,1527.19,,1527.19
,LN9,1,1,2,,LN9,157.13,153.09,310.22
,LU5,2,,2,,LU5,283.58,,283.58
,LU6,,4,4,,LU6,,1098.13,1098.13
,LU7,6,12,18,,LU7,872.4100000000001,2811.2700000000004,3683.6800000000003
,M1,1,,1,,M1,189.5,,189.5
,MK11,,1,1,,MK11,,362.97,362.97
