Reports - Group Journal - 01/01/2023 - 31/12/2023 - All - 0 - All,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,,,,,,,,,,,,,,,,,,,
Company Confidential,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Event Id,PropertyId,Property_Type,Max Depth,Interceptor,InterceptorRemoval,Greater24Hours,Occ Basement,CauseOfBlockage,OSPostcode,OSRoad,OSPostTown,OSCounty,Flood Incident Date,SewTypeCode,FloodCatCode,FloodLevelCode,FloodLocCode,Rainfall Return,Job Creation Date,Asset Owner
511648,1183015,Industrial,Less than 30 mm,No,No,No,No,UK,HA0 1XX,ATHLON ROAD,WEMBLEY,,2023-05-10 00:00:00,F,B,A,E,0,2023-05-10 00:00:00,TWUL (LOCAL)
510632,1136467,Commercial,Less than 30 mm,,,,,,OX1 2XX,NEW INN HALL STREET,OXFORD,,2023-03-28 00:00:00,F,H,Z,Y,1,2023-03-29 00:00:00,TWUL (LOCAL)
509995,1182088,Commercial,Less than 30 mm,No,No,No,No,UK,DA1 1XX,MARKET PLACE,DARTFORD,,2023-02-24 00:00:00,F,B,A,E,0,2023-03-06 00:00:00,TWUL (EX S24)
514504,1184545,House/ Flat,Less than 30 mm,,,,,PR,HA0 1XX,MOUNT PLEASANT,WEMBLEY,,2023-10-10 00:00:00,F,B,B,I,0,2023-10-12 00:00:00,TWUL (EX S24)
511896,1136241,Commercial,Less than 30 mm,,,,,DEF,DA1 1XX,LOWFIELD STREET,DARTFORD,,2023-05-22 00:00:00,F,B,A,I,0,2023-05-22 00:00:00,TWUL (LOCAL)
511837,1183107,House/ Flat,Less than 30 mm,No,No,No,No,UK,TN13 1XX,CROWNFIELDS,SEVENOAKS,KENT,2023-05-18 00:00:00,F,B,A,E,0,2023-05-18 00:00:00,TWUL (EX S24)
510169,1182184,House/ Flat,Less than 30 mm,No,No,No,No,UK,TN13 1XX,WHITE HART WOOD,SEVENOAKS,KENT,2023-03-11 00:00:00,F,B,A,E,0,2023-03-11 00:00:00,TWUL (LOCAL)
512444,1049041,House/ Flat,Less than 30 mm,,,Yes,,,TN13 1XX,GARTH ROAD,SEVENOAKS,KENT,2023-06-20 00:00:00,F,H,A,Y,7,2023-06-21 00:00:00,TWUL (LOCAL)
516810,1185579,House/ Flat,Less than 30 mm,No,No,No,No,UK,UB1 1XX,BEACONSFIELD ROAD,SOUTHALL,MIDDLESEX,2023-12-17 00:00:00,F,B,A,E,0,2023-12-17 00:00:00,TWUL (EX S24)
515520,1120181,House/ Flat,Less than 30 mm,,,,,UK,GL54 1XX,FOX DRIVE,CHELTENHAM,GLOUCESTERSHIRE,2023-11-11 00:00:00,F,B,A,E,0,2023-11-12 00:00:00,TWUL (LOCAL)
509475,1181783,House/ Flat,Less than 30 mm,No,No,Yes,No,UK,HA0 1XX,HEATHER PARK DRIVE,WEMBLEY,MIDDLESEX,2023-02-16 00:00:00,F,B,A,E,0,2023-02-19 00:00:00,TWUL (EX S24)
515539,1184982,House/ Flat,Less than 30 mm,No,No,No,No,UK,HA0 1XX,WOODSIDE CLOSE,WEMBLEY,MIDDLESEX,2023-11-10 00:00:00,F,B,A,E,0,2023-11-11 00:00:00,TWUL (EX S24)
511465,1182902,House/ Flat,Less than 30 mm,No,No,No,No,UK,HA0 2XX,ROKESBY PLACE,WEMBLEY,MIDDLESEX,2023-04-13 00:00:00,F,B,A,E,0,2023-04-28 00:00:00,TWUL (LOCAL)
508111,1181047,House/ Flat,Less than 30 mm,No,No,Yes,No,UK,UB1 2XX,SHELLEY CRESCENT,SOUTHALL,MIDDLESEX,2023-01-08 00:00:00,F,B,A,E,0,2023-01-08 00:00:00,TWUL (EX S24)
510366,1182299,House/ Flat,Less than 30 mm,No,No,No,No,UK,UB1 2XX,BURNS AVENUE,SOUTHALL,MIDDLESEX,2023-03-19 00:00:00,F,B,A,E,0,2023-03-19 00:00:00,TWUL (EX S24)
515643,1139753,Commercial,Less than 30 mm,,,Yes,Yes,FG,UB1 2XX,LADY MARGARET ROAD,SOUTHALL,,2023-11-13 00:00:00,F,B,B,I,3,2023-11-15 00:00:00,TWUL (EX S24)
512073,1155446,House/ Flat,,,,Yes,,UK,HA0 2XX,HARROWDENE ROAD,WEMBLEY,MIDDLESEX,2023-05-11 00:00:00,F,B,A,E,0,2023-06-01 00:00:00,TWUL (LOCAL)
511438,1119088,House/ Flat,Less than 30 mm,No,No,No,No,UK,TN13 1XX,OAK LANE,SEVENOAKS,KENT,2023-04-26 00:00:00,C,B,A,E,0,2023-04-26 00:00:00,TWUL (EX S24)
514488,1184538,House/ Flat,Less than 30 mm,No,No,Yes,No,UK,TN13 2XX,LONDON ROAD,SEVENOAKS,KENT,2023-10-09 00:00:00,F,B,A,E,0,2023-10-10 00:00:00,TWUL (LOCAL)
512988,1183707,Commercial,Less than 30 mm,,,,,FG,OX1 2XX,LITTLE CLARENDON STREET,OXFORD,,2023-07-20 00:00:00,F,B,B,I,0,2023-07-22 00:00:00,TWUL (EX S24)
510262,1182235,Commercial,Less than 30 mm,,,,,3RDPARTY,SE1 2XX,DRUID STREET,LONDON,,2023-03-13 00:00:00,F,B,B,I,0,2023-03-15 00:00:00,TWUL (LOCAL)
510575,1182437,House/ Flat,Less than 30 mm,No,No,No,No,UK,DA6 8XX,THE GROVE,BEXLEYHEATH,KENT,2023-03-27 00:00:00,F,B,A,E,0,2023-03-27 00:00:00,TWUL (EX S24)
512514,1138664,House/ Flat,Less than 30 mm,,,Yes,,FG,N1 1XX,LONSDALE PLACE,LONDON,,2023-06-21 00:00:00,C,B,A,M,3,2023-06-26 00:00:00,TWUL (EX S24)
512368,1166929,Commercial,Less than 30 mm,,,,Yes,FG,SE1 2XX,TOOLEY STREET,LONDON,,2023-06-15 00:00:00,F,B,B,I,0,2023-06-19 00:00:00,TWUL (EX S24)
511481,1182913,Commercial,Less than 30 mm,,,,,SC,SE1 3XX,MELIOR STREET,LONDON,,2023-04-28 00:00:00,F,B,B,I,0,2023-04-29 00:00:00,TWUL (EX S24)
514617,1184596,House/ Flat,Less than 30 mm,No,No,Yes,No,UK,DA6 8XX,GAINSBOROUGH SQUARE,BEXLEYHEATH,KENT,2023-10-16 00:00:00,F,B,A,E,0,2023-10-16 00:00:00,TWUL (EX S24)
513082,1183767,Commercial,Less than 30 mm,,,,,PR,N1 1XX,UPPER STREET,LONDON,,2023-07-15 00:00:00,C,B,Z,I,0,2023-08-01 00:00:00,TWUL (EX S24)
510615,1182465,House/ Flat,Less than 30 mm,No,No,No,No,UK,BR5 4XX,LOWER ROAD,ORPINGTON,KENT,2023-03-28 00:00:00,F,B,A,E,0,2023-03-28 00:00:00,TWUL (EX S24)
510616,1182466,House/ Flat,Less than 30 mm,No,No,No,No,UK,BR5 4XX,LOWER ROAD,ORPINGTON,KENT,2023-03-28 00:00:00,F,B,A,E,0,2023-03-28 00:00:00,TWUL (EX S24)
510610,1182460,House/ Flat,Less than 30 mm,No,No,No,No,UK,BR6 7XX,STALISFIELD PLACE,ORPINGTON,KENT,2023-03-28 00:00:00,F,B,A,E,0,2023-03-28 00:00:00,TWUL (EX S24)
510614,1182464,House/ Flat,Less than 30 mm,No,No,Yes,No,UK,BR5 3XX,WESLEY CLOSE,ORPINGTON,KENT,2023-03-26 00:00:00,F,B,A,E,0,2023-03-28 00:00:00,TWUL (EX S24)
513047,1183707,Commercial,Less than 30 mm,,,Yes,,FG,OX1 2XX,LITTLE CLARENDON STREET,OXFORD,,2023-07-27 00:00:00,F,B,B,I,0,2023-07-27 00:00:00,TWUL (EX S24)
511700,1130251,House/ Flat,30 to 299mm,No,No,Yes,No,UK,HA0 2XX,HARROWDENE ROAD,WEMBLEY,MIDDLESEX,2023-05-11 00:00:00,F,B,A,S,0,2023-05-12 00:00:00,TWUL (LOCAL)
514951,1184736,House/ Flat,Less than 30 mm,No,No,Yes,No,UK,E1 0XX,LUKIN STREET,LONDON,,2023-10-22 00:00:00,F,B,A,E,0,2023-10-25 00:00:00,UNKNOWN
513417,1171391,House/ Flat,Less than 30 mm,No,No,No,No,UK,RG1 3XX,FLORENCE WALK,READING,,2023-08-22 00:00:00,F,B,A,E,0,2023-08-22 00:00:00,TWUL (LOCAL)
511660,1183023,House/ Flat,Less than 30 mm,No,No,Yes,No,UK,TN13 2XX,MARLBOROUGH CRESCENT,SEVENOAKS,KENT,2023-05-10 00:00:00,F,B,A,E,0,2023-05-10 00:00:00,TWUL (LOCAL)
514313,1184450,House/ Flat,Less than 30 mm,No,No,No,No,UK,HA0 2XX,DISTRICT ROAD,WEMBLEY,MIDDLESEX,2023-10-03 00:00:00,F,B,A,E,0,2023-10-04 00:00:00,TWUL (EX S24)
