Reports - Non Property Floodings - 01/01/2023 - 31/12/2023 - All,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
Company Confidential,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NonPropId,Local Authority,OSX,OSY,Location Description,Job Creation date,Incident Date,Sewer Type,Flood Category,Flood Level,Flood Location,Flood Duration,Risk,Hyd SFI,Ops SFI,AssetOwner
6598,Welwyn Hatfield,5228674,2160647,X ELMOOR AV WELWYN AL6 9XX,2023-01-03 00:00:00,2023-01-01 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,50,TWUL (LOCAL)
37204,,4813817,1919422,X SLAYTER ROAD HIGH WYCOMBE HP143XX,2023-01-01 00:00:00,2022-12-30 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
36772,,4987429,2085207,XX BRIDGEWATER ROAD BERKHAMSTED HP4 1XX,2023-01-01 00:00:00,2023-01-01 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,50,TWUL (LOCAL)
2989,Cherwell,4479234,2119320,XX CASSINGTON RD YARNTON OX5 1XX,2023-01-01 00:00:00,2023-01-01 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,AE,100,200,TWUL (LOCAL)
37202,,5164970,2058082,XX ADMIRALS WALK ST. ALBANS AL1 5XX,2023-01-01 00:00:00,2023-01-01 00:00:00,Foul F,Blockage,Above ground,Private Land,< 1 Month,,0,10,TWUL (LOCAL)
37203,,5163777,2059163,XX ADMIRALS WALK ST. ALBANS AL1 5XX,2023-01-01 00:00:00,2023-01-01 00:00:00,Foul F,Blockage,Above ground,Private Land,< 1 Month,,0,10,TWUL (LOCAL)
8403,Stevenage,5263952,2252240,XX CONIFER WALK STEVENAGE SG2 7XX,2023-01-01 00:00:00,2023-01-01 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (EX S24)
37206,,4889484,2016417,XX WINSLOW FIELD GREAT MISSENDEN HP169XX,2023-01-02 00:00:00,2023-01-02 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,50,TWUL (EX S24)
37213,,4417064,2065425,SADDLEBACK CROFT SUTTON LANE WITNEY SADDLEBACK CROFT OX29 5RY,2023-01-03 00:00:00,2023-01-02 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
37205,,5548916,2044386,XX MORETON ROAD ONGAR CM5 0XX,2023-01-02 00:00:00,2023-01-02 00:00:00,Foul F,Blockage,Above ground,Private Land,< 1 Month,,0,10,TWUL (EX S24)
37207,,5542624,1872743,XX WESTLAND AVENUE HORNCHURCH RM113XX,2023-01-02 00:00:00,2023-01-02 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (EX S24)
37208,,4596876,1614254,X HINTON CLOSE TADLEY RG263XX,2023-01-02 00:00:00,2023-01-02 00:00:00,Foul F,Blockage,Above ground,Public Open Space,< 1 Month,,0,20,TWUL (LOCAL)
37214,,4565879,2207439,XXXXX XXXX COTTAGE BICESTER LODGE FARM COTTAGE OX26 1XX,2023-01-03 00:00:00,2023-01-02 00:00:00,Foul F,Equipment,Above ground,Private Land,< 1 Month,,0,10,TWUL (LOCAL)
37215,,5181102,2005504,ENGINE HOUSE FLAT RADLETT LANE RADLETT ENGINE HOUSE FLAT WD7 9XX,2023-01-03 00:00:00,2023-01-02 00:00:00,Foul F,Blockage,Above ground,Public Open Space,< 1 Month,,0,20,TWUL (LOCAL)
36019,,487309,169645,XX HURLEY DRIVE BRACKNELL RG12 2XX,2023-01-02 00:00:00,2023-01-02 00:00:00,Foul F,Blockage,Above ground,Public Open Space,< 1 Month,,0,20,TWUL (LOCAL)
37209,,5265105,2254850,X HEDGEROW CLOSE STEVENAGE SG2 7XX,2023-01-02 00:00:00,2023-01-02 00:00:00,Foul F,Blockage,Above ground,Private Land,< 1 Month,,0,10,TWUL (EX S24)
37211,,5145464,1802163,XXX STAR SIDE HOUSE UXBRIDGE ROAD SOUTHALL STAR SIDE HOUSE UB1 3XX,2023-01-02 00:00:00,2023-01-02 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
37210,,4353181,2089424,XX MALLARD DRIVE WITNEY OX284XX,2023-01-02 00:00:00,2023-01-02 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Highways,< 1 Month,CE,10,0,TWUL (LOCAL)
16154,West Oxfordshire,4302804,2068361,XXX STATION RD BRIZE NORTON OX18 3XX,2023-01-03 00:00:00,2023-01-02 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Highways,< 1 Month,AE,1000,0,TWUL (LOCAL)
3620,West Oxfordshire,4340805,2119018,X THE FORDWAYS CRAWLEY OX29 9XX,2023-01-03 00:00:00,2023-01-02 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,10,100,TWUL (LOCAL)
4783,West Berks,4577214,1714968,XXXX COTTAGE UNKNOWN STANFORD DIN RG7 6XX,2023-01-03 00:00:00,2023-01-01 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Highways,< 1 Month,AE,500,10,TWUL (LOCAL)
31906,Basingstoke & Deane,4608802,1571918,CLAYGATE SALTERS HEATH RD TADLEY HAMPS RG26 5HZ,2023-01-03 00:00:00,2023-01-02 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Highways,< 1 Month,BE,100,0,TWUL (LOCAL)
37218,,5572195,1739841,HAYES ROAD GREENHITHE DA9 9DN,2023-01-04 00:00:00,2023-01-02 00:00:00,Foul F,Blockage,Above ground,Private Land,< 1 Month,,0,10,TWUL (LOCAL)
2096,Hertsmere,5256272,1998193,BROOKES PLACE BARNET RD POTTERS BAR EN6 2SJ,2023-01-03 00:00:00,2023-01-02 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,50,TWUL (EX S24)
37181,,5138047,2158982,X RIVERFORD CLOSE HARPENDEN AL5 4XX,2023-01-04 00:00:00,2023-01-03 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,50,TWUL (LOCAL)
37219,,5436571,1840728,XXX MORLINE HOUSE LONDON ROAD BARKING MORLINE HOUSE IG118XX,2023-01-04 00:00:00,2023-01-03 00:00:00,Surface S,Blockage,Above ground,Highways,< 1 Month,,0,5,HIGHWAY AUTHORITY
16154,West Oxfordshire,4302804,2068361,XXX STATION RD BRIZE NORTON OX18 3XX,2023-01-03 00:00:00,2023-01-03 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Private Land,< 1 Month,AE,1000,0,TWUL (LOCAL)
37217,,4250751,2123139,XX PRIORY LANE BURFORD OX184XX,2023-01-03 00:00:00,2023-01-02 00:00:00,Foul F,Collapse,Above ground,Highways,< 1 Month,,0,10,TWUL (EX S24)
37216,,484238,197874,X SMITHS ROAD HIGH WYCOMBE HP144XX,2023-01-03 00:00:00,2023-01-02 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,50,TWUL (EX S24)
37221,,5576159,1746208,XX SWALLOW CLOSE GREENHITHE DA9 9XX,2023-01-04 00:00:00,2023-01-03 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
37222,,4816755,2137828,XX CASTLE STREET AYLESBURY HP202XX,2023-01-04 00:00:00,2023-01-04 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TRANSFERRED ASSET (2011)
37224,,5338211,1588496,XX GODSTONE ROAD WHYTELEAFE CR3 0XX,2023-01-04 00:00:00,2022-12-23 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Highways,< 1 Month,CE,10,0,TWUL (LOCAL)
37220,,543868,207627,HARLOW ISLAMIC CENTRE PARINGDON ROAD HARLOW HARLOW ISLAMIC CENTRE CM194QX,2023-01-04 00:00:00,2023-01-04 00:00:00,Foul F,Blockage,Above ground,Private Land,< 1 Month,,0,10,TWUL (EX S24)
37226,,5539004,2070307,CHURCH ROAD ONGAR CM5 0JA,2023-01-05 00:00:00,2023-01-04 00:00:00,Foul F,Blockage,Above ground,Private Land,< 1 Month,,0,10,TWUL (EX S24)
37223,,4660131,1670929,X PEMBROKE CLOSE READING RG7 3XX,2023-01-04 00:00:00,2023-01-04 00:00:00,Foul F,Blockage,Above ground,Private Land,< 1 Month,,0,10,UNKNOWN
37225,,5556062,1703620,XX XXXX COTTAGES TALLENTS CLOSE DARTFORD DA4 9XX,2023-01-05 00:00:00,2023-01-03 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (EX S24)
37228,,5469081,2115130,XX PARK HILL HARLOW CM170XX,2023-01-05 00:00:00,2023-01-05 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,50,TWUL (LOCAL)
