Date Raised,Town/City,Postcode,Flooding Category,Feedback Responsibility,Feedback Cause
2023-12-31,DEVON,EX9 6LD,External outside bounday of property,Sewerage,Blockage Paper/Rag
2023-12-31,PADSTOW,PL28 8AU,External outside bounday of property,Sewerage,Blockage non sewage debris
2023-12-31,TORQUAY,TQ1 1EY,Internal Flooding,Private,Sewer condition
2023-12-31,PENZANCE,TR18 3DE,External outside bounday of property,Sewerage,Sewer condition
2023-12-31,FALMOUTH,TR11 4JH,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-31,BRIXHAM,TQ5 8RH,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-30,NEWQUAY,TR8 4QR,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-30,BIDEFORD,EX39 2BH,External outside bounday of property,Sewerage,Partial Collapse-Sewerage
2023-12-30,TEIGNMOUTH,TQ14 8UR,External inside boundary of property,Sewerage,Sewer condition
2023-12-29,ST. AUSTELL,PL25 3PT,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-29,ST. AUSTELL,PL25 3DX,External outside bounday of property,Sewerage,Partial Collapse-Sewerage
2023-12-29,BARNSTAPLE,EX32 8EF,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-29,TIVERTON,EX16 5PJ,External outside bounday of property,Sewerage,Blockage Paper/Rag
2023-12-29,TORQUAY,TQ2 6ET,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-29,TORQUAY,TQ1 1EY,External outside bounday of property,Sewerage,Partial Collapse-Sewerage
2023-12-29,HOLSWORTHY,EX22 6BE,External inside boundary of property,Sewerage,Blockage non sewage debris
2023-12-29,PLYMOUTH,PL7 4DA,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-29,PLYMOUTH,PL6 7RY,External inside boundary of property,Sewerage,Collapse/Burst-Sewerage
2023-12-29,PENZANCE,TR18 3AD,External inside boundary of property,Private,Blockage Paper/Rag
2023-12-29,PAIGNTON,TQ4 7SW,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-29,TEIGNMOUTH,TQ14 9LJ,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-28,PLYMOUTH,PL6 8NX,External outside bounday of property,Sewerage,Blockage Paper/Rag
2023-12-28,PLYMOUTH,PL6 6JB,External outside bounday of property,Sewerage,Blockage - Fat
2023-12-28,PLYMOUTH,PL5 4HH,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-28,BODMIN,PL31 1AD,External inside boundary of property,Sewerage,Blockage non sewage debris
2023-12-28,NORTH TAWTON,EX20 2HP,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-28,PAIGNTON,TQ4 5JN,External inside boundary of property,Sewerage,Blockage non sewage debris
2023-12-28,BIDEFORD,EX39 2AN,External outside bounday of property,Sewerage,Blockage Paper/Rag
2023-12-28,IVYBRIDGE,PL21 0HX,External outside bounday of property,Sewerage,Blockage Paper/Rag
2023-12-28,TRURO,TR4 9DS,External inside boundary of property,Sewerage,Blockage - Roots
2023-12-28,FALMOUTH,TR11 5NE,External outside bounday of property,Sewerage,Hydraulic Overload
