Postcode,Raised Date,Flooding Cause,Location Of Flooding
PL7 2,2021-01-01,Partial Collapse,Garden/Yard
PL26 8,2021-01-02,Blockage - Paper rag,Driveway
TR7 1,2021-01-02,Collapse/Burst,Garden/Yard
EX2 5,2021-01-02,Blockage - Paper rag,Garden/Yard
PL2 2,2021-01-03,Blockage - Silt,Garden/Yard
TQ12 3,2021-01-04,Blockage - Non sewage debris,Garden/Yard
TR8 4,2021-01-04,Blockage - Paper rag,Garden/Yard
EX16 9,2021-01-04,Blockage - Roots,Garden/Yard
PL23 1,2021-01-04,Blockage - Paper rag,Garden/Yard
PL2 2,2021-01-04,Blockage - Fat,Garden/Yard
TQ2 7,2021-01-04,Blockage - Paper rag,Driveway
TR4 9,2021-01-04,Blockage - Roots,Garden/Yard
PL2 2,2021-01-04,Blockage - Fat,Garden/Yard
TQ2 8,2021-01-05,Partial Collapse,Garden/Yard
TR16 4,2021-01-05,Blockage - Paper rag,Driveway
EX2 9,2021-01-05,Blockage - Paper rag,Garden/Yard
EX6 7,2021-01-05,Blockage - Paper rag,Garden/Yard
EX39 1,2021-01-05,Blockage - Paper rag,Garden/Yard
EX39 1,2021-01-05,Blockage - Paper rag,Driveway
EX39 1,2021-01-05,Blockage - Paper rag,Garden/Yard
EX31 2,2021-01-06,Blockage - Paper rag,Garden/Yard
PL26 8,2021-01-06,Blockage - Paper rag,Garden/Yard
TR14 0,2021-01-06,Blockage - Paper rag,Garden/Yard
TQ2 8,2021-01-06,Partial Collapse,Garden/Yard
PL3 6,2021-01-07,Blockage - Roots,Garden/Yard
TQ14 9,2021-01-07,Hydraulic Overload,Driveway
PL17 8,2021-01-07,Blockage - Paper rag,Driveway
PL2 2,2021-01-08,Blockage - Paper rag,Garden/Yard
TQ9 6,2021-01-08,Blockage - Paper rag,Garden/Yard
TR7 1,2021-01-08,Collapse/Burst,Garden/Yard
TQ14 9,2021-01-08,Blockage - Paper rag,Garden/Yard
TR12 6,2021-01-08,Blockage - Paper rag,Garden/Yard
PL14 5,2021-01-09,Hydraulic Overload,Garden/Yard
TR14 7,2021-01-09,Blockage - Paper rag,Garden/Yard
PL3 6,2021-01-09,Blockage - Paper rag,Garden/Yard
TR17 0,2021-01-09,Blockage - Paper rag,Garden/Yard
PL5 2,2021-01-10,Blockage - Paper rag,Garden/Yard
TQ7 2,2021-01-10,Blockage - Non sewage debris,Garden/Yard
TQ14 9,2021-01-10,Partial Collapse,Garden/Yard
PL27 7,2021-01-10,Pump Station Breakdown,Garden/Yard
EX7 0,2021-01-12,Blockage - Roots,Garden/Yard
TQ5 8,2021-01-12,Blockage - Paper rag,Garden/Yard
TQ12 5,2021-01-13,Partial Collapse,Driveway
